symbol,sector,industry,committee,empty
FOX,Communication Services,Entertainment,[],[]
CTSH,Technology,Information Technology Services,['science'],[]
ACA,Industrials,Infrastructure Operations,['transportation'],[]
MDLZ,Consumer Defensive,Confectioners,['nutrition'],[]
BOIVF,Communication Services,Entertainment,[],[]
RL,Consumer Cyclical,Apparel Manufacturing,['commerce'],[]
STT,Financial Services,Asset Management,['finance'],[]
UHAL,Industrials,Rental & Leasing Services,[],[]
MO,Consumer Defensive,Tobacco,['nutrition'],[]
KMI,Energy,Oil & Gas Midstream,"['energy', 'naturalresources']",[]
HCA,Healthcare,Medical Care Facilities,['health'],[]
PRU,Financial Services,Insurance—Life,['finance'],[]
EMR,Industrials,Specialty Industrial Machinery,[],[]
M,Consumer Cyclical,Department Stores,['commerce'],[]
SU,Energy,Oil & Gas Integrated,"['energy', 'naturalresources']",[]
FHB,Financial Services,Banks—Regional,"['banking', 'finance']",[]
BKNG,Consumer Cyclical,Travel Services,['commerce'],[]
FOXA,Communication Services,Entertainment,[],[]
HUN,Basic Materials,Chemicals,['naturalresources'],[]
NWS,Communication Services,Entertainment,[],[]
MSM,Industrials,Industrial Distribution,[],[]
EAF,Industrials,Electrical Equipment & Parts,[],[]
PAGP,Energy,Oil & Gas Midstream,"['energy', 'naturalresources']",[]
SUN,Energy,Oil & Gas Refining & Marketing,"['energy', 'naturalresources']",[]
EPD,Energy,Oil & Gas Midstream,"['energy', 'naturalresources']",[]
LNG,Energy,Oil & Gas Midstream,"['energy', 'naturalresources']",[]
MMP,Energy,Oil & Gas Midstream,"['energy', 'naturalresources']",[]
OKE,Energy,Oil & Gas Midstream,"['energy', 'naturalresources']",[]
PAA,Energy,Oil & Gas Midstream,"['energy', 'naturalresources']",[]
WMB,Energy,Oil & Gas Midstream,"['energy', 'naturalresources']",[]
TRGP,Energy,Oil & Gas Midstream,"['energy', 'naturalresources']",[]
MPLX,Energy,Oil & Gas Midstream,"['energy', 'naturalresources']",[]
ET,Energy,Oil & Gas Midstream,"['energy', 'naturalresources']",[]
HD,Consumer Cyclical,Home Improvement Retail,['commerce'],[]
BP,Energy,Oil & Gas Integrated,"['energy', 'naturalresources']",[]
AFL,Financial Services,Insurance—Life,['finance'],[]
TFC,Financial Services,Banks—Regional,"['banking', 'finance']",[]
URI,Industrials,Rental & Leasing Services,[],[]
SO,Utilities,Utilities—Regulated Electric,['energy'],[]
NSC,Industrials,Railroads,['transportation'],[]
GDV,Financial Services,Asset Management,['finance'],[]
TEL,Technology,Electronic Components,['science'],[]
PNQI,,,[],[]
GEM,,,[],[]
IAT,,,[],[]
QLEIX,,,[],[]
OAYIX,,,[],[]
FPL,Financial Services,Asset Management,['finance'],[]
BOTZ,,,[],[]
DRI,Consumer Cyclical,Restaurants,"['commerce', 'nutrition']",[]
IWD,,,[],[]
PKG,Consumer Cyclical,Packaging & Containers,['commerce'],[]
KNX,Industrials,Trucking,['transportation'],[]
HPQ,Technology,Computer Hardware,['science'],[]
NVO,Healthcare,Biotechnology,['health'],[]
TEX,Industrials,Farm & Heavy Construction Machinery,['agriculture'],[]
