,Date,onDay,after_1,after_2,after_3,after_4,after_5,after_6,after_7,after_8,after_9,after_10,after_11,after_12,after_13,after_14,after_15,after_30,after_45,after_90,after_120,after_365,after_730,after_1095,after_1460,after_1825
3003,2021-05-06,4201.6201171875,4232.60009765625,4188.43017578125,4188.43017578125,4188.43017578125,4152.10009765625,4063.0400390625,4112.5,4173.85009765625,4163.2900390625,4163.2900390625,4163.2900390625,4127.830078125,4115.68017578125,4159.1201171875,4155.85986328125,4226.52001953125,4224.7900390625,4402.66015625,4535.43017578125,4123.33984375,,,,
3004,2021-05-07,4232.60009765625,4188.43017578125,4188.43017578125,4188.43017578125,4152.10009765625,4063.0400390625,4112.5,4173.85009765625,4163.2900390625,4163.2900390625,4163.2900390625,4127.830078125,4115.68017578125,4159.1201171875,4155.85986328125,4197.0498046875,4226.52001953125,4224.7900390625,4429.10009765625,4520.02978515625,3991.239990234375,,,,
3005,2021-05-08,4188.43017578125,4188.43017578125,4188.43017578125,4152.10009765625,4063.0400390625,4112.5,4173.85009765625,4163.2900390625,4163.2900390625,4163.2900390625,4127.830078125,4115.68017578125,4159.1201171875,4155.85986328125,4197.0498046875,4197.0498046875,4226.52001953125,4246.43994140625,4436.52001953125,4520.02978515625,3991.239990234375,,,,
3006,2021-05-09,4188.43017578125,4188.43017578125,4152.10009765625,4063.0400390625,4112.5,4173.85009765625,4163.2900390625,4163.2900390625,4163.2900390625,4127.830078125,4115.68017578125,4159.1201171875,4155.85986328125,4197.0498046875,4197.0498046875,4197.0498046875,4227.259765625,4241.83984375,4432.35009765625,4520.02978515625,3991.239990234375,,,,
3007,2021-05-10,4188.43017578125,4152.10009765625,4063.0400390625,4112.5,4173.85009765625,4163.2900390625,4163.2900390625,4163.2900390625,4127.830078125,4115.68017578125,4159.1201171875,4155.85986328125,4197.0498046875,4197.0498046875,4197.0498046875,4188.1298828125,4219.5498046875,4266.490234375,4432.35009765625,4520.02978515625,4001.050048828125,,,,
3008,2021-05-11,4152.10009765625,4063.0400390625,4112.5,4173.85009765625,4163.2900390625,4163.2900390625,4163.2900390625,4127.830078125,4115.68017578125,4159.1201171875,4155.85986328125,4197.0498046875,4197.0498046875,4197.0498046875,4188.1298828125,4195.990234375,4239.18017578125,4280.7001953125,4432.35009765625,4514.06982421875,3935.179931640625,,,,
3009,2021-05-12,4063.0400390625,4112.5,4173.85009765625,4163.2900390625,4163.2900390625,4163.2900390625,4127.830078125,4115.68017578125,4159.1201171875,4155.85986328125,4197.0498046875,4197.0498046875,4197.0498046875,4188.1298828125,4195.990234375,4200.8798828125,4247.43994140625,4290.60986328125,4436.75,4493.27978515625,3930.080078125,,,,
3010,2021-05-13,4112.5,4173.85009765625,4163.2900390625,4163.2900390625,4163.2900390625,4127.830078125,4115.68017578125,4159.1201171875,4155.85986328125,4197.0498046875,4197.0498046875,4197.0498046875,4188.1298828125,4195.990234375,4200.8798828125,4204.10986328125,4255.14990234375,4290.60986328125,4442.41015625,4458.580078125,4023.889892578125,,,,
3011,2021-05-14,4173.85009765625,4163.2900390625,4163.2900390625,4163.2900390625,4127.830078125,4115.68017578125,4159.1201171875,4155.85986328125,4197.0498046875,4197.0498046875,4197.0498046875,4188.1298828125,4195.990234375,4200.8798828125,4204.10986328125,4202.0400390625,4255.14990234375,4290.60986328125,4460.830078125,4468.72998046875,4008.010009765625,,,,
3012,2021-05-15,4163.2900390625,4163.2900390625,4163.2900390625,4127.830078125,4115.68017578125,4159.1201171875,4155.85986328125,4197.0498046875,4197.0498046875,4197.0498046875,4188.1298828125,4195.990234375,4200.8798828125,4204.10986328125,4202.0400390625,4202.0400390625,4255.14990234375,4291.7998046875,4468.0,4468.72998046875,4008.010009765625,,,,
3013,2021-05-16,4163.2900390625,4163.2900390625,4127.830078125,4115.68017578125,4159.1201171875,4155.85986328125,4197.0498046875,4197.0498046875,4197.0498046875,4188.1298828125,4195.990234375,4200.8798828125,4204.10986328125,4202.0400390625,4202.0400390625,4202.0400390625,4246.58984375,4297.5,4479.7099609375,4468.72998046875,4008.010009765625,,,,
3014,2021-05-17,4163.2900390625,4127.830078125,4115.68017578125,4159.1201171875,4155.85986328125,4197.0498046875,4197.0498046875,4197.0498046875,4188.1298828125,4195.990234375,4200.8798828125,4204.10986328125,4202.0400390625,4202.0400390625,4202.0400390625,4202.0400390625,4223.7001953125,4319.93994140625,4479.7099609375,4443.0498046875,4088.85009765625,,,,
3015,2021-05-18,4127.830078125,4115.68017578125,4159.1201171875,4155.85986328125,4197.0498046875,4197.0498046875,4197.0498046875,4188.1298828125,4195.990234375,4200.8798828125,4204.10986328125,4202.0400390625,4202.0400390625,4202.0400390625,4202.0400390625,4208.1201171875,4221.85986328125,4352.33984375,4479.7099609375,4480.7001953125,3923.679931640625,,,,
3016,2021-05-19,4115.68017578125,4159.1201171875,4155.85986328125,4197.0498046875,4197.0498046875,4197.0498046875,4188.1298828125,4195.990234375,4200.8798828125,4204.10986328125,4202.0400390625,4202.0400390625,4202.0400390625,4202.0400390625,4208.1201171875,4192.85009765625,4166.4501953125,4343.5400390625,4448.080078125,4473.75,3900.7900390625,,,,
3017,2021-05-20,4159.1201171875,4155.85986328125,4197.0498046875,4197.0498046875,4197.0498046875,4188.1298828125,4195.990234375,4200.8798828125,4204.10986328125,4202.0400390625,4202.0400390625,4202.0400390625,4202.0400390625,4208.1201171875,4192.85009765625,4229.89013671875,4224.7900390625,4343.5400390625,4400.27001953125,4432.990234375,3901.360107421875,,,,
3018,2021-05-21,4155.85986328125,4197.0498046875,4197.0498046875,4197.0498046875,4188.1298828125,4195.990234375,4200.8798828125,4204.10986328125,4202.0400390625,4202.0400390625,4202.0400390625,4202.0400390625,4208.1201171875,4192.85009765625,4229.89013671875,4226.52001953125,4224.7900390625,4343.5400390625,4405.7998046875,4357.72998046875,3973.75,,,,
3019,2021-05-22,4197.0498046875,4197.0498046875,4197.0498046875,4188.1298828125,4195.990234375,4200.8798828125,4204.10986328125,4202.0400390625,4202.0400390625,4202.0400390625,4202.0400390625,4208.1201171875,4192.85009765625,4229.89013671875,4226.52001953125,4226.52001953125,4224.7900390625,4343.5400390625,4441.669921875,4357.72998046875,3973.75,,,,
3020,2021-05-23,4197.0498046875,4197.0498046875,4188.1298828125,4195.990234375,4200.8798828125,4204.10986328125,4202.0400390625,4202.0400390625,4202.0400390625,4202.0400390625,4208.1201171875,4192.85009765625,4229.89013671875,4226.52001953125,4226.52001953125,4226.52001953125,4246.43994140625,4358.1298828125,4479.52978515625,4357.72998046875,3973.75,,,,
3021,2021-05-24,4197.0498046875,4188.1298828125,4195.990234375,4200.8798828125,4204.10986328125,4202.0400390625,4202.0400390625,4202.0400390625,4202.0400390625,4208.1201171875,4192.85009765625,4229.89013671875,4226.52001953125,4226.52001953125,4226.52001953125,4227.259765625,4241.83984375,4320.81982421875,4479.52978515625,4354.18994140625,3941.47998046875,,,,
3022,2021-05-25,4188.1298828125,4195.990234375,4200.8798828125,4204.10986328125,4202.0400390625,4202.0400390625,4202.0400390625,4202.0400390625,4208.1201171875,4192.85009765625,4229.89013671875,4226.52001953125,4226.52001953125,4226.52001953125,4227.259765625,4219.5498046875,4266.490234375,4369.5498046875,4479.52978515625,4395.64013671875,3978.72998046875,,,,
3023,2021-05-26,4195.990234375,4200.8798828125,4204.10986328125,4202.0400390625,4202.0400390625,4202.0400390625,4202.0400390625,4208.1201171875,4192.85009765625,4229.89013671875,4226.52001953125,4226.52001953125,4226.52001953125,4227.259765625,4219.5498046875,4239.18017578125,4280.7001953125,4384.6298828125,4486.22998046875,4448.97998046875,4057.840087890625,,,,
3024,2021-05-27,4200.8798828125,4204.10986328125,4202.0400390625,4202.0400390625,4202.0400390625,4202.0400390625,4208.1201171875,4192.85009765625,4229.89013671875,4226.52001953125,4226.52001953125,4226.52001953125,4227.259765625,4219.5498046875,4239.18017578125,4247.43994140625,4290.60986328125,4384.6298828125,4496.18994140625,4455.47998046875,4158.240234375,,,,
3025,2021-05-28,4204.10986328125,4202.0400390625,4202.0400390625,4202.0400390625,4202.0400390625,4208.1201171875,4192.85009765625,4229.89013671875,4226.52001953125,4226.52001953125,4226.52001953125,4227.259765625,4219.5498046875,4239.18017578125,4247.43994140625,4255.14990234375,4290.60986328125,4384.6298828125,4470.0,4443.10986328125,4132.14990234375,,,,
3026,2021-05-29,4202.0400390625,4202.0400390625,4202.0400390625,4202.0400390625,4208.1201171875,4192.85009765625,4229.89013671875,4226.52001953125,4226.52001953125,4226.52001953125,4227.259765625,4219.5498046875,4239.18017578125,4247.43994140625,4255.14990234375,4255.14990234375,4290.60986328125,4369.2099609375,4509.3701171875,4443.10986328125,4132.14990234375,,,,
3027,2021-05-30,4202.0400390625,4202.0400390625,4202.0400390625,4208.1201171875,4192.85009765625,4229.89013671875,4226.52001953125,4226.52001953125,4226.52001953125,4227.259765625,4219.5498046875,4239.18017578125,4247.43994140625,4255.14990234375,4255.14990234375,4255.14990234375,4291.7998046875,4374.2998046875,4528.7900390625,4443.10986328125,4132.14990234375,,,,
